Badanie;Placówka;Cena
NFEL D 2 KOT, ALBUMINA W SUROWICY (E-220) IGE SWOISTE (L91);Poznań, ul. Sczanieckiej 8B lok 101;61.0
KORTYZOL (M31);Łódź, ul. Zgierska 1;65.0
P/C ANTYKARDIOLIPINOWE KLASY IGM (N89);Poznań, os. Chrobrego 118;106.0
9-OH-RYSPERYDON;Poznań, ul. Marcelińska 98/303;210.0
PROSO (F56) - IGE SWOISTE (L91);Drzewica, ul. Stawowa 27;69.0
PANEL ALVEOLITIS ALLERGICA (DOROŚLI);Tarnobrzeg, ul. Piłsudskiego 5;410.0
NBOS D6 BSA, ALBUMINA SUROWICY BYDLĘCEJ (E-204) IGE SWOISTE (L91);Olsztyn, ul. Kołobrzeska 6;61.0
MONITOROWANIE TERAPII LEKAMI: ANTYDEPRESANTY-2, LC-MS/MS;Mielec, ul. Skłodowskiej 8A;459.0
SERTRALINA;Kęty, ul. Henryka Sienkiewicza 13;191.0
KATECHOLAMINY W DZM (M15);Ostrów Wielkopolski, ul. Wolności 26/1;360.0
NIETOLERANCJA LAKTOZY – TEST WODOROWO-METANOWY;Kraków, ul. F. Kniaźnina 1/U5;314.0
PLATYNA;Lesko, ul. Parkowa 10;308.0
KALPROTEKTYNA W KALE (ILOŚCIOWO);Wodzisław Śląski, ul. Mendego 18;163.0
DIAZEPAM (P21);Żyrardów, ul. Okrzei 8/14;210.0
DYSTROFIA MIĘŚNIOWA DUCHENNE/BECKERA (DMD/BMD), METODA NGS;Opoczno, ul. Skłodowskiej-Curie 18/1;2900.0
STAPHYLOCOCCUS ENTEROTOKSYNA B (M-81) IGE SWOISTE (L91);Olsztynek, ul. Chopina 10a;61.0
P/C PRZECIW PM-1;Nowa Sól, ul. Piłsudskiego 55B/3;134.0
TIAGABINA;Jelenia Góra, ul. Sygietyńskiego 15;218.0
NART V 1 BYLICA POSPOLITA (W-231) IGE SWOISTE (L91);Łódź, ul. Tatrzańska 109;61.0
LISTERIOZA (U26);Staszów, ul. Krakowska 49;168.0
MAGNEZ W MOCZU (M87);Rybnik, ul. Korfantego 6;24.0
P/C PRZECIW  GLIKOPROTEINIE ZWIĄZANEJ Z MIELINĄ (MAG);Kalisz Pomorski, ul. Wolności 14;253.0
KRĄŻĄCY ANTYKOAGULANT TOCZNIA - LA (N89);Gorzów Wielkopolski, ul. Sienkiewicza 10/11;184.0
RDZENIOWY ZANIK MIĘŚNI SMA, ANALIZA DELECJI/DUPLIKACJI METODĄ MLPA;Rzeszów, ul. Podwisłocze 22A;700.0
ACEBUTOLOL - BADANIE JAKOŚCIOWE W MOCZU;Sopot, ul. 1 Maja 5;161.0
GENETYCZNY PANEL DIAGNOSTYCZNY - DERMATOLOGIA, METODA NGS (BADANIE Z KONSULTACJĄ);Warszawa, ul. Poznańska 22;3990.0
SZPARAGI (F261) - IGE SWOISTE (L91);Dzierżoniów, ul. Bohaterów Getta 5;69.0
KLOZAPINA;Poznań, ul. Cyryla Ratajskiego 9;210.0
RAPI M 5 PSZCZOŁA MIODNA, (I216) IGE SWOISTE (L91);Szczecinek, ul. Wyszyńskiego 71;54.0
P/C PRZECIWKO ŻÓŁTEJ FEBRZE IGG;Rzeszów, ul. Litewska 29;177.0
RCOR A 1 PR-10 ORZECH LASKOWY (F-428) IGE SWOISTE (L91);Warszawa, ul. Belgradzka 4 lok 5U;61.0
NCAN F 3 DOG PIES, ALBUMINA W SUROWICY (E-221) IGE SWOISTE (L91);Swarzędz, ul. Czwartaków 24B;61.0
HEMINEURYNA - BADANIE JAKOŚCIOWE W MOCZU;Rabka-Zdrój, ul. Kościuszki 1D;138.0
P/C PRZECIWKO RECEPTOROWI FOSFOLIPAZY A2;Gorzów Wielkopolski, ul. Matejki 57/U4;153.0
PŁUCO ROLNIKA;Chełm, ul. Słowackiego 33;498.0
HBS - ANTYGEN HBS (WZW TYPU B) (V39);Poznań, ul. Piątkowska 84B;39.0
P/C PRZECIW HHV-6 IGG;Lublin, ul. Krańcowa 107 lok 8;383.8
AMYLOID A W SUROWICY;Kraków, ul. Piastowska 1B;146.0
MIGDAŁ (F20) - IGE SWOISTE (L91);Pułtusk, ul. T. Kwiatkowskiego 19;61.0
PROSO QUINOA (F347) - IGE SWOISTE (L91);Zambrów, ul. Białostocka 24;69.0
NACHWEIS VON SARS-COV-2 CORONAVIRUS ANTIGEN;Ostrów Wielkopolski, ul. Wolności 26/1;128.0
WYKRYWANIE DNA TROPHERYMA WHIPPLEI;Chełm, ul. Szymanowskiego 3;555.0
WYKRYWANIE DNA WIRUSA BOCAVIRUS METODĄ REAL TIME - PCR, JAKOŚCIOWO;Lębork, ul. Węgrzynowicza 1;154.0
MELATONINA - PROFIL DZIENNY W ŚLINIE;Kraków, os. Na Wzgórzach 1;799.0
ŚLIWKA (F255) - IGE SWOISTE (L91);Wrocław, ul. Biskupia 8a;61.0
P/C PRZECIW WIRUSOWI PUUMALA (PUUV) IGG;Nowe Czarnowo, ul. Nowe Czarnowo 74;110.0
MONITOROWANIE TERAPII LEKAMI: ZONISAMID, HPLC/PDA;Załom, ul. Lubczyńska 6;228.0
PROFIL POLINEUROPATIE - PRZECIWCIAŁA PRZECIW NEUROFASCYNIE 155 I 186, PRZECIW KONTAKTYNIE 1 (CNTN1) I CASPR 1;Szczecin, ul. Staromłyńska 21/26;236.55
FOODPROFIL SKRINING - BADANIE WSTĘPNE, TEST PRZESIEWOWY;Koszalin, ul. Spasowskiego 1D;82.0
PRZECIWCIAŁA PRZECIW MA-2/TA;Łódź, ul. 1 Maja 42/44;138.0
BETA- DEFENSYNY;Rypin, ul. Nowy Rynek 16 G;167.0
DEHYDROEPIANDROSTERON (DHEA) (K25);Ruciane-Nida, ul. Polna 1;114.0
JAGODA AMERYKAŃSKA (F288) - IGE SWOISTE (L91);Gostynin, ul. Rynek 25;78.0
RZEPAK (W203) - IGE SWOISTE (L91);Barlinek, ul. Niepodległości 25;58.0
GRYPA B - P/C IGA (F79);Pułtusk, ul. Świętojańska 4;161.0
POTAS W MOCZU (N45);Ostróda, ul. Grunwaldzka 2/27;26.0
BAWEŁNA (O1) - IGE SWOISTE (L91);Piaseczno, ul. Wojska Polskiego 30 lok 2;61.0
HALIBUT (F303) - IGE SWOISTE (L91);Piotrków Trybunalski, ul. Dmowskiego 38;69.0
FOSFATAZA ALKALICZNA - IZOENZYMY;Wrocław, ul. Traugutta 103;169.0
RGLY M 4 SOJA (F-353) IGE SWOISTE (L91);Jaworzno, ul. Grunwaldzka 47;61.0
D-ARABINITOL W MOCZU;Lublin, ul. Ceramiczna 1;267.0
WIRUS DENGI PRZECIWCIAŁA  KLASY IGM;Olsztyn, ul. Iwaszkiewicza 22C lok.02;195.0
BADANIE OGÓLNE MOCZU (A01);Chojnice, ul. Obrońców Chojnic 3;17.0
ILOŚCIOWE OZNACZANIE DNA WIRUSA EBV METODĄ REAL TIME-PCR;Łuków, ul. Spokojna 2a;313.0
FENAZEPAM;Warszawa, ul. Cybernetyki 17 lok. U9;210.0
JAD SZERSZENIA (I75) - IGE SWOISTE (L91);Zielona Góra, ul. Wyszyńskiego 32B;65.0
GELATINE (C74) - IGE SWOISTE (L91);Sejny, ul. 1 Maja 4 pok. 3;69.0
OSA KLECANKA (I4) – IGE SWOISTE (L91);Stargard, ul. Mickiewicza 18;69.0
AMFETAMINA - TEST NARKOTYCZNY W MOCZU (P07);Jaworzno, ul. Grunwaldzka 47;59.0
CLADOSPORIUM HERBARUM (M2) - IGE SWOISTE (L91);Warszawa, ul. Przeworska 7 lok. U5;61.0
HCV - P/C PRZECIW HCV (WZW TYPU C) (V48);Kościerzyna, ul. Jeziorna 2B;44.0
CYTRYNIANY;Warszawa, ul. Puławska 52;146.0
P/C PRZECIW SS-A/RO;Gorzów Wielkopolski, ul. Mostowa 12;98.0
BIAŁKO JAJKA (F1) - IGE SWOISTE (L91);Warszawa, ul. Górczewska 224 lok. U8;61.0
WX3 PYŁKI ZIOŁOWE (L91)+NAWŁOĆ POSPOLITA;Łódź, ul. Sierakowskiego 67A;71.0
ANDROSTENDION (I31);Warszawa, ul. Rembrandta 2 lok U11;86.0
P/C PRZECIW CZYNNIKOWI WEWNĘTRZNEMU CASTLE'A (N71);Świdnica, ul. Kazimierza Wielkiego 5;161.0
NOREMETASUKSYMID;Warszawa, ul. Rembielińska 8;210.0
RGAD C 1 DORSZ (F-426) IGE SWOISTE (L91);Wolsztyn, ul. Wodna 10;58.0
APOLIPOPROTEINA E GENOTYP;Gorzów Wielkopolski, ul. PIŁSUDSKIEGO 1B;621.0
AMINOTRANSFERAZA ALANINOWA (ALT) (I17);Świdnica, ul. Kazimierza Wielkiego 5;19.0
WX2 PYŁKI ZIOŁOWE+SZCZAW;Płock, ul. Miodowa 1;80.0
KREATYNINA W SUROWICY (M37);Warszawa, ul. Powstańców Śląskich 3A lok. U4;24.0
TRUSKAWKA (F44) - IGE SWOISTE (L91);Łomża, ul. Sybiraków 10B;61.0
MYSZ - NASKÓREK, MOCZ (E88)- IGE SWOISTE (L91);Pisz, ul. Sienkiewicza 4/39;69.0
MNOGA GRUCZOLAKOWATOŚĆ WEWNĄTRZWYDZIELNICZA TYP 2 - ANALIZA GEN RET, METODA NGS;Czechowice-Dziedzice, ul. Słowackiego 28;2900.0
KARALUCH - PRUSAK (I6) - IGE SWOISTE (L91);Wrocław, ul. Gubińska 17 lok U1;61.0
TRYPTAZA;Warszawa, ul. Żegańska 48;209.0
KUPKÓWKA POSPOLITA (G3) - IGE SWOISTE (L91);Kraków, ul. Piastowska 1B;61.0
BETA-KAROTEN (M13);Nowy Targ, ul. Wojska Polskiego 14;243.0
